step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.45249056713603,0,0.0,0.9041260643264805,0,0.0
10.0,0,0.0,0.0,11.820519140672241,0,0.0,0.8693328002810671,0,0.0
15.0,4,8.0,0.4444444444444444,7.315592585718041,4,8.0,0.43706747215372566,4,8.0
20.0,8,45.0,2.5,6.903878664774343,8,45.0,0.3932648593176798,8,45.0
25.0,5,42.0,1.9090909090909092,5.7817575515713,5,57.0,0.3717794412083976,5,57.0
30.0,10,85.0,4.25,6.28970978659567,10,85.0,0.33914745399593876,10,85.0
35.0,6,99.0,4.304347826086956,5.236382000081628,6,112.0,0.2796990275232737,6,112.0
40.0,8,135.0,5.0,8.45784790168042,8,135.0,0.5128802756980961,8,135.0
45.0,4,62.0,2.066666666666667,8.030479616197098,4,110.0,0.4651819402944278,4,110.0
50.0,8,93.0,3.3214285714285716,7.718205368143771,8,93.0,0.3719527535506027,8,93.0
55.0,6,102.0,3.642857142857143,7.605423419844837,6,115.0,0.39205536833231697,6,115.0
60.0,6,132.0,5.5,8.073018312516806,6,132.0,0.36352936652789963,6,132.0
65.0,8,169.0,6.5,9.086377923075002,8,169.0,0.4481021212112551,8,169.0
70.0,6,99.0,4.5,8.631331056097817,6,99.0,0.4255631225206369,6,99.0
75.0,8,135.0,4.655172413793103,7.901299017839543,8,135.0,0.47797733052455005,8,135.0
80.0,8,138.0,5.3076923076923075,7.856212953957341,8,150.0,0.5262706984375307,8,150.0
85.0,11,181.0,6.033333333333333,5.306190009956947,11,181.0,0.2810397878125328,11,181.0
90.0,11,193.0,6.433333333333334,5.912344467871489,11,222.0,0.2921226151417977,11,222.0
95.0,10,241.0,8.033333333333333,7.481467575305849,10,243.0,0.39079414089265396,10,243.0
100.0,6,60.0,2.0,7.263188464202025,6,183.0,0.3299420580528202,6,183.0
105.0,8,71.0,2.4482758620689653,7.4946377696491515,8,98.0,0.3525456303122166,8,98.0
110.0,7,78.0,2.4375,7.859610383692478,7,99.0,0.41812604374338064,7,99.0
115.0,6,102.0,3.5172413793103448,8.834465213400936,6,104.0,0.5156542215802343,6,104.0
120.0,7,66.0,2.357142857142857,7.367746726040454,7,68.0,0.3680454225916515,7,68.0
125.0,14,123.0,4.555555555555555,5.052960549502631,14,125.0,0.24404542713063512,14,125.0
130.0,13,88.0,3.259259259259259,4.280205092947524,13,141.0,0.23902049068525186,13,141.0
135.0,13,153.0,5.275862068965517,5.44185896480626,13,155.0,0.26225237315078553,13,155.0
140.0,12,120.0,3.870967741935484,6.187830408772374,12,183.0,0.2871288455010641,12,183.0
145.0,6,96.0,2.909090909090909,7.096392371988594,6,132.0,0.3276197256416229,6,132.0
150.0,6,112.0,3.111111111111111,8.497754386822582,6,152.0,0.5018763648764945,6,152.0
155.0,12,158.0,5.096774193548387,5.9423913498250815,12,194.0,0.2765418959159215,12,194.0
160.0,16,188.0,5.529411764705882,4.520569476768348,16,232.0,0.22662059107698926,16,232.0
165.0,11,218.0,7.032258064516129,4.873542467644266,11,253.0,0.1922101892765903,11,253.0
170.0,7,61.0,1.6944444444444444,6.067554403801125,7,201.0,0.30124752645282143,7,201.0
175.0,12,87.0,2.71875,5.329418409982443,12,137.0,0.19183238032972816,12,137.0
180.0,12,109.0,3.303030303030303,5.3851282595325225,12,151.0,0.21302232766177512,12,151.0
185.0,9,122.0,3.388888888888889,7.421126615160912,9,155.0,0.3648806041703249,9,155.0
190.0,5,72.0,2.057142857142857,7.351461112674812,5,144.0,0.4016128716428845,5,144.0
195.0,12,115.0,3.59375,4.888194990935812,12,156.0,0.20041100400347348,12,156.0
200.0,15,139.0,4.088235294117647,4.914015642364451,15,200.0,0.23875449140587823,15,200.0
205.0,7,142.0,4.176470588235294,6.23202789936588,7,201.0,0.2760900200227072,7,201.0
210.0,8,174.0,5.2727272727272725,8.077460265709538,8,194.0,0.399180391572528,8,194.0
215.0,8,214.0,7.379310344827586,7.767523939892005,8,222.0,0.3350824701403261,8,222.0
220.0,6,158.0,4.388888888888889,8.11901808016354,6,205.0,0.508984306259139,6,205.0
225.0,11,202.0,6.733333333333333,7.394593383252792,11,204.0,0.44387842901187974,11,204.0
230.0,11,228.0,6.705882352941177,5.18719563462368,11,246.0,0.296870735741535,11,246.0
235.0,13,281.0,9.366666666666667,5.415168679403866,13,288.0,0.289248924823956,13,288.0
240.0,12,167.0,4.911764705882353,5.360485119422223,12,191.0,0.23089904497764482,12,191.0
245.0,18,245.0,7.903225806451613,5.024986712518464,18,252.0,0.22187703564756756,18,252.0
250.0,15,146.0,4.424242424242424,3.7741818227587753,15,256.0,0.16235369945446648,15,256.0
